layer,percent,origianl size,compressed size
0 -11.651417671447584 1452367933 1283146479
1 -11.33651392728732 1452367933 1287720040
2 -11.109854970889115 1452367933 1291011962
3 -11.178089953050485 1452367933 1290020939
4 -11.340525514067517 1452367933 1287661777
5 -11.32504486382102 1452367933 1287886613
6 -11.506594451917026 1452367933 1285249845
7 -11.567992254756012 1452367933 1284358123
8 -11.636553600498695 1452367933 1283362360
9 -11.619845368756156 1452367933 1283605025
10 -11.90707768125861 1452367933 1279433355
11 -11.86839023937607 1452367933 1279995239
12 -11.81030330556052 1452367933 1280838875
13 -11.938470346274164 1452367933 1278977418
14 -11.98810928304901 1452367933 1278256478
15 -11.733148269667835 1452367933 1281959450
16 -11.703802882020806 1452367933 1282385653
17 -11.822806611084824 1452367933 1280657281
18 -11.669581801486938 1452367933 1282882669
19 -11.54239798270181 1452367933 1284729846
20 -11.340299125152882 1452367933 1287665065
21 -11.143763527309991 1452367933 1290519485
22 -11.099190249059292 1452367933 1291166853
23 -11.072594853276756 1452367933 1291553116
24 -11.079898374484422 1452367933 1291447042
25 -11.171956934138672 1452367933 1290110013
26 -11.185861675176492 1452367933 1289908065
27 -11.312474082282014 1452367933 1288069187
28 -11.38200281374568 1452367933 1287059374
29 -11.42658648881089 1452367933 1286411855
30 -11.517864667699188 1452367933 1285086160
31 -11.617892764367443 1452367933 1283633384

